poly_degree,scale,chain,chain_sum,depth,max_err,runtime,security,score
8192,1099511627776,"(60, 40, 60)",160,3,1.5058926692290697e-06,0.6395232677459717,1.3625,1.5058926692290697e-06
32768,1099511627776,"(60, 40, 60)",160,3,9.192853923423172e-06,2.571749448776245,12.785116572473537,9.192853923423172e-06
16384,1099511627776,"(60, 40, 60)",160,3,1.3548428881904329e-05,1.0940697193145752,4.338834845724165,1.3548428881904329e-05
8192,1099511627776,"(60, 40, 40)",140,3,1.593230649706669,0.5518224239349365,1.5571428571428572,1.593230649706669
8192,1099511627776,"(60, 60, 40)",160,3,4.25662826876848,0.5227136611938477,1.3625,4.25662826876848
16384,1099511627776,"(60, 60, 40)",160,3,4.325157403738274,1.158780813217163,4.338834845724165,4.325157403738274
32768,1125899906842624,"(60, 60, 40)",160,3,4.4944468844445,2.358415365219116,12.785116572473537,4.4944468844445
32768,1125899906842624,"(60, 60, 60)",180,3,4.498751574616449,2.3943512439727783,11.364548064420923,4.498751574616449
16384,1125899906842624,"(60, 60, 60)",180,3,4.498751577047813,1.1955795288085938,3.856742085088146,4.498751577047813
8192,1125899906842624,"(60, 60, 60)",180,3,4.498751577598739,0.5826981067657471,1.211111111111111,4.498751577598739
8192,1125899906842624,"(60, 60, 40)",160,3,4.5011153444200716,0.5351812839508057,1.3625,4.5011153444200716
8192,1099511627776,"(60, 60, 60)",180,3,4.503144184658083,0.5500645637512207,1.211111111111111,4.503144184658083
32768,1099511627776,"(60, 60, 60)",180,3,4.5031484537851725,2.4317500591278076,11.364548064420923,4.5031484537851725
16384,1099511627776,"(60, 60, 60)",180,3,4.503152188938458,1.2281303405761719,3.856742085088146,4.503152188938458
16384,1125899906842624,"(60, 60, 40)",160,3,4.504510169060893,1.327552080154419,4.338834845724165,4.504510169060893
16384,1099511627776,"(60, 40, 40)",140,3,6.302686345074591,1.1173651218414307,4.958668395113331,6.302686345074591
32768,1099511627776,"(60, 60, 40)",160,3,13.723812241488503,2.410727024078369,12.785116572473537,13.723812241488503
32768,1099511627776,"(60, 40, 40)",140,3,13.725374452390184,2.401109218597412,14.611561797112614,13.725374452390184
8192,1099511627776,"(60, 40)",100,2,inf,inf,0.0,inf
8192,1125899906842624,"(60, 40)",100,2,inf,inf,0.0,inf
8192,1152921504606846976,"(60, 40)",100,2,inf,inf,0.0,inf
8192,1099511627776,"(60, 60)",120,2,inf,inf,0.0,inf
8192,1125899906842624,"(60, 60)",120,2,inf,inf,0.0,inf
8192,1152921504606846976,"(60, 60)",120,2,inf,inf,0.0,inf
8192,1125899906842624,"(60, 40, 40)",140,3,inf,inf,0.0,inf
8192,1152921504606846976,"(60, 40, 40)",140,3,inf,inf,0.0,inf
8192,1125899906842624,"(60, 40, 60)",160,3,inf,inf,0.0,inf
8192,1152921504606846976,"(60, 40, 60)",160,3,inf,inf,0.0,inf
8192,1152921504606846976,"(60, 60, 40)",160,3,inf,inf,0.0,inf
8192,1152921504606846976,"(60, 60, 60)",180,3,inf,inf,0.0,inf
16384,1099511627776,"(60, 40)",100,2,inf,inf,0.0,inf
16384,1125899906842624,"(60, 40)",100,2,inf,inf,0.0,inf
16384,1152921504606846976,"(60, 40)",100,2,inf,inf,0.0,inf
16384,1099511627776,"(60, 60)",120,2,inf,inf,0.0,inf
16384,1125899906842624,"(60, 60)",120,2,inf,inf,0.0,inf
16384,1152921504606846976,"(60, 60)",120,2,inf,inf,0.0,inf
16384,1125899906842624,"(60, 40, 40)",140,3,inf,inf,0.0,inf
16384,1152921504606846976,"(60, 40, 40)",140,3,inf,inf,0.0,inf
16384,1125899906842624,"(60, 40, 60)",160,3,inf,inf,0.0,inf
16384,1152921504606846976,"(60, 40, 60)",160,3,inf,inf,0.0,inf
16384,1152921504606846976,"(60, 60, 40)",160,3,inf,inf,0.0,inf
16384,1152921504606846976,"(60, 60, 60)",180,3,inf,inf,0.0,inf
32768,1099511627776,"(60, 40)",100,2,inf,inf,0.0,inf
32768,1125899906842624,"(60, 40)",100,2,inf,inf,0.0,inf
32768,1152921504606846976,"(60, 40)",100,2,inf,inf,0.0,inf
32768,1099511627776,"(60, 60)",120,2,inf,inf,0.0,inf
32768,1125899906842624,"(60, 60)",120,2,inf,inf,0.0,inf
32768,1152921504606846976,"(60, 60)",120,2,inf,inf,0.0,inf
32768,1125899906842624,"(60, 40, 40)",140,3,inf,inf,0.0,inf
32768,1152921504606846976,"(60, 40, 40)",140,3,inf,inf,0.0,inf
32768,1125899906842624,"(60, 40, 60)",160,3,inf,inf,0.0,inf
32768,1152921504606846976,"(60, 40, 60)",160,3,inf,inf,0.0,inf
32768,1152921504606846976,"(60, 60, 40)",160,3,inf,inf,0.0,inf
32768,1152921504606846976,"(60, 60, 60)",180,3,inf,inf,0.0,inf
